,Country,Age,Gender,playlist_id,link,music_genre
829,New Zealand,65+,male,spotify:playlist:1UYPPeIp6YZXVecozoaN02,https://everynoise.com/everydemo.cgi?root=NZ%2065%2Bm&amp;gscope=all&amp;ascope=all,"['folk rock', 'mellow gold', 'country rock', 'singer-songwriter', 'soft rock', 'folk', 'classic rock', 'brill building pop', 'adult standards', 'roots rock', 'rock', 'bubblegum pop', 'rock-and-roll', 'album rock', 'blues rock', 'pacific islands pop', 'classic uk pop', 'merseybeat', 'art rock', 'rockabilly', 'classic nz pop', 'british invasion', 'kiwi rock', 'nashville sound', 'nz reggae', 'psychedelic rock', 'country', 'lilith', 'new wave pop', 'classic country pop', 'outlaw country', 'alternative country', 'heartland rock', 'lounge', 'permanent wave', 'australian alternative rock', 'australian rock', 'easy listening', 'hard rock', 'new americana', 'new wave', 'pop rock', 'waiata maori', 'yacht rock', 'beatlesque', 'british folk', 'deep adult standards', 'doo-wop', 'glam rock', 'melancholia', 'modern blues', 'nederpop', 'new romantic', 'nz pop', 'nz singer-songwriter', 'piano rock', 'rhythm and blues', 'texas country', 'uk americana']"
830,Nicaragua,0-17,male,spotify:playlist:3XkuLHWFiFnbirY27yQ3ZC,https://everynoise.com/everydemo.cgi?root=NI%200-17m&amp;gscope=all&amp;ascope=all,"['trap latino', 'reggaeton', 'reggaeton flow', 'latin', 'latin hip hop', 'rap dominicano', 'trap boricua', 'dembow', 'dominican pop', 'trap argentino']"
831,Nicaragua,18-24,female,spotify:playlist:72N6M9caG36Am9aZ4L0ogZ,https://everynoise.com/everydemo.cgi?root=NI%2018-24f&amp;gscope=all&amp;ascope=all,"['latin', 'latin pop', 'tropical', 'latin worship', 'latin christian', 'trap latino', 'reggaeton', 'latin hip hop', 'reggaeton flow', 'dominican pop', 'colombian pop', 'latin arena pop', 'mexican pop', 'bachata', 'bachata dominicana', 'merengue', 'panamanian pop', 'ranchera', 'dembow', 'musica mexicana', 'rap cristiano', 'rap dominicano', 'rock cristiano', 'rock en espanol', 'spanish pop', 'mariachi', 'musica nicaraguense', 'reggaeton colombiano', 'reggaeton cristiano', 'salsa', 'adoracion', 'banda', 'bolero', 'latin talent show', 'latin viral pop', 'mariachi cristiano', 'nueva musica mexicana', 'pop', 'rap latina', 'trap boricua', 'world worship']"
832,Nicaragua,18-24,male,spotify:playlist:6MgL2uaJnUfr1R6J006sj7,https://everynoise.com/everydemo.cgi?root=NI%2018-24m&amp;gscope=all&amp;ascope=all,"['trap latino', 'reggaeton', 'reggaeton flow', 'latin', 'latin hip hop', 'tropical', 'dominican pop', 'rap dominicano', 'dembow', 'musica mexicana', 'musica nicaraguense', 'ranchera', 'panamanian pop', 'trap boricua', 'bachata dominicana', 'latin pop', 'trap dominicano', 'bachata', 'mariachi', 'merengue', 'norteno', 'perreo', 'venezuelan hip hop', 'boom bap espanol', 'cumbia sonidera', 'grupera', 'latin christian', 'latin worship', 'musica costarricense', 'rap conciencia', 'rap cristiano', 'rock nica', 'trap venezolano']"
833,Nicaragua,25-29,female,spotify:playlist:3Agx0cU387TNclB1bHTAny,https://everynoise.com/everydemo.cgi?root=NI%2025-29f&amp;gscope=all&amp;ascope=all,"['latin', 'latin worship', 'latin christian', 'latin pop', 'tropical', 'ranchera', 'mexican pop', 'latin arena pop', 'latin hip hop', 'reggaeton', 'trap latino', 'colombian pop', 'reggaeton flow', 'bolero', 'musica mexicana', 'rock cristiano', 'rock en espanol', 'reggaeton colombiano', 'salsa', 'mariachi', 'adoracion', 'bachata', 'banda', 'dance pop', 'grupera', 'panamanian pop', 'pop', 'pop romantico', 'rap cristiano', 'reggaeton cristiano', 'vallenato', 'bachata dominicana', 'dominican pop', 'italian adult pop', 'mariachi cristiano', 'musica popular colombiana', 'nueva musica mexicana', 'puerto rican pop', 'rap latina', 'salsa puertorriquena', 'vallenato moderno', 'world worship']"
834,Nicaragua,25-29,male,spotify:playlist:0g4vrnziL4UGvIH0prUFIw,https://everynoise.com/everydemo.cgi?root=NI%2025-29m&amp;gscope=all&amp;ascope=all,"['latin', 'trap latino', 'reggaeton', 'latin hip hop', 'reggaeton flow', 'tropical', 'latin worship', 'latin christian', 'latin pop', 'ranchera', 'musica mexicana', 'dominican pop', 'norteno', 'panamanian pop', 'bachata', 'perreo', 'rap dominicano', 'rock en espanol', 'bachata dominicana', 'banda', 'dembow', 'grupera', 'musica nicaraguense', 'nueva musica mexicana', 'colombian pop', 'mariachi', 'merengue', 'musica popular colombiana', 'rap cristiano', 'reggaeton cristiano', 'rock cristiano', 'salsa', 'cumbia salvadorena', 'cumbia sonidera', 'latin alternative', 'latin arena pop', 'latin rock', 'mexican pop', 'musica costarricense', 'rap conciencia', 'reggaeton colombiano', 'rock nica']"
835,Nicaragua,30-34,female,spotify:playlist:0ddaSPFgzJaQdY9YRMKwOK,https://everynoise.com/everydemo.cgi?root=NI%2030-34f&amp;gscope=all&amp;ascope=all,"['latin', 'latin pop', 'latin worship', 'mexican pop', 'latin christian', 'latin arena pop', 'ranchera', 'tropical', 'rock en espanol', 'colombian pop', 'bolero', 'salsa', 'musica mexicana', 'puerto rican pop', 'dance pop', 'reggaeton', 'latin hip hop', 'latin rock', 'pop', 'rock cristiano', 'spanish pop', 'trap latino', 'grupera', 'latin alternative', 'mariachi', 'pop romantico', 'rap cristiano', 'reggaeton colombiano', 'reggaeton cristiano', 'reggaeton flow', 'vallenato', 'banda', 'cantautor', 'italian adult pop', 'mariachi cristiano', 'modern salsa', 'musica popular colombiana', 'salsa puertorriquena', 'spanish pop rock', 'world worship']"
836,Nicaragua,30-34,male,spotify:playlist:7fUZdn8DqlxNXN8GJPVdLu,https://everynoise.com/everydemo.cgi?root=NI%2030-34m&amp;gscope=all&amp;ascope=all,"['latin', 'latin worship', 'latin christian', 'tropical', 'trap latino', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'ranchera', 'musica mexicana', 'rock en espanol', 'mexican pop', 'bolero', 'latin rock', 'norteno', 'grupera', 'latin alternative', 'latin arena pop', 'rock cristiano', 'bachata', 'banda', 'colombian pop', 'dominican pop', 'musica popular colombiana', 'nueva musica mexicana', 'panamanian pop', 'vallenato', 'argentine rock', 'bachata dominicana', 'mariachi', 'pop romantico', 'rap cristiano', 'reggaeton cristiano', 'salsa', 'gruperas inmortales', 'latin metal', 'mariachi cristiano', 'merengue', 'rap conciencia', 'spanish metal', 'vallenato moderno']"
837,Nicaragua,35-44,female,spotify:playlist:59Ex4t6UBHlSkjOGu3BI7H,https://everynoise.com/everydemo.cgi?root=NI%2035-44f&amp;gscope=all&amp;ascope=all,"['latin', 'latin pop', 'latin worship', 'latin christian', 'latin arena pop', 'mexican pop', 'ranchera', 'tropical', 'rock en espanol', 'bolero', 'puerto rican pop', 'rock cristiano', 'dance pop', 'musica mexicana', 'pop romantico', 'spanish pop', 'colombian pop', 'mariachi cristiano', 'cancion melodica', 'cantautor', 'grupera', 'mariachi', 'pop', 'salsa', 'vallenato', 'musica popular colombiana', 'rap cristiano', 'reggaeton cristiano', 'spanish pop rock', 'vallenato moderno', 'world worship']"
838,Nicaragua,35-44,male,spotify:playlist:7d5NfytvzjQFQYSCZDJnRM,https://everynoise.com/everydemo.cgi?root=NI%2035-44m&amp;gscope=all&amp;ascope=all,"['latin', 'latin worship', 'latin christian', 'latin pop', 'tropical', 'ranchera', 'rock en espanol', 'mexican pop', 'musica mexicana', 'latin arena pop', 'bolero', 'latin rock', 'grupera', 'latin alternative', 'pop romantico', 'latin hip hop', 'reggaeton', 'trap latino', 'norteno', 'reggaeton flow', 'rock cristiano', 'gruperas inmortales', 'mariachi cristiano', 'panamanian pop', 'argentine rock', 'colombian pop', 'mariachi', 'puerto rican pop', 'rap cristiano', 'reggaeton cristiano', 'vallenato', 'bachata', 'banda', 'cantautor', 'chilean rock', 'dance pop', 'musica popular colombiana', 'pop', 'spanish pop']"
